version,publishedtime,url,length of content,md5
version1.0,27/01/2020 2:07,https://www.cbc.ca/news/politics/coronavirus-hajdu-tam-health-china-1.5440950,14572,5E96B5830F456F637C03B9A55EA70798
version1.0,25/01/2020 3:49,https://www.cbc.ca/news/health/china-coronavirus-wuhan-public-health-1.5438737,12356,FD2E1F61B3CED762D2E8709BD17F94F1
version1.0,23/01/2020 16:22,https://www.cbc.ca/news/canada/british-columbia/coronavirus-masks-1.5437209,8536,02544999E307297F6BD61D950D97B2EC
version1.0,23/01/2020 2:08,https://www.cbc.ca/news/health/cornavirus-screening-1.5435523,11716,F49AAB0D6875686DE099D387302574AB
version1.0,26/01/2020 0:31,https://www.cbc.ca/news/canada/british-columbia/bc-health-officials-reaction-1st-case-coronavirus-canada-1.5440803,7960,2749201AC576BF17CD4EEE9E71CD14A7
version1.0,23/01/2020 2:46,https://www.cbc.ca/news/health/new-viral-respiratory-illness-rise-sharply-in-china-1.5435736,12127,F307A49CC08EE5759CEB07AD980FFC38
version1.0,25/01/2020 14:53,https://www.cbc.ca/news/health/coronavirus-zoonosis-1.5440146,8570,62CEC91BD5CF632E261D1983988AA536
version1.0,23/01/2020 1:54,https://www.cbc.ca/news/canada/toronto/toronto-travel-china-lunar-new-year-coronavirus-1.5437038,9359,576497A855DD532D4B22FB67CC9532DC
version1.0,25/01/2020 9:00,https://www.cbc.ca/news/health/coronavirus-canada-social-media-misinformation-1.5440334,13162,4CEADCEBB8CA6B0160806F2D8646E368
version1.0,24/01/2020 13:28,https://www.cbc.ca/news/canada/montreal/cirque-china-cancel-1.5438796,4853,08C9D7E427D620A04A5342F238F937BF
version1.0,22/01/2020 18:02,https://www.cbc.ca/news/canada/british-columbia/bc-coronavirus-screening-test-airports-1.5436045,6767,F1D3E1188338BB887E0352AABAE79857
version1.0,24/01/2020 16:56,https://www.cbc.ca/news/canada/toronto/toronto-coronavirus-preparedness-1.5439033,6739,C674C527F9885F3044089A06B8CCB884
version1.0,21/01/2020 2:26,https://www.cbc.ca/news/canada/british-columbia/yvr-coronavirus-screening-1.5433477,9287,527E334CEB36431261E98171F927EA28
version1.0,26/01/2020 18:39,https://www.cbc.ca/news/health/coronavirus-canada-toronto-update-1.5440853,11663,6E6EC245E4788AD8A2BF0FD4E4DC4FF1
version1.0,26/01/2020 4:14,https://www.cbc.ca/news/health/coronavirus-china-hong-kong-1.5440539,10941,C428E588E833AA8F23F524E405F8F4B5
version1.0,25/01/2020 3:49,https://www.cbc.ca/news/world/france-coronavirus-cases-1.5439889,8369,69FA4612B07768128AE1F98BC8D1205A
version1.0,21/01/2020 22:06,https://www.cbc.ca/news/business/stock-markets-down-coronavirus-1.5434494,8061,D929247CAD5F2BC0CBD89C2B0796599C
